group,variable,value
camping0,1,55
camping0,2,47
camping0,3,67
camping0,4,50
camping0,5,50
camping0,6,37
camping0,7,40
camping0,8,49
camping0,9,46
camping0,10,30
camping0,11,41
camping0,12,42
camping1,1,5
camping1,2,4
camping1,3,8
camping1,4,8
camping1,5,17
camping1,6,14
camping1,7,8
camping1,8,22
camping1,9,7
camping1,10,13
camping1,11,5
camping1,12,7
camping2,1,77
camping2,2,66
camping2,3,78
camping2,4,83
camping2,5,73
camping2,6,61
camping2,7,65
camping2,8,69
camping2,9,74
camping2,10,75
camping2,11,66
camping2,12,83
camping3,1,82
camping3,2,78
camping3,3,88
camping3,4,89
camping3,5,66
camping3,6,80
camping3,7,76
camping3,8,69
camping3,9,63
camping3,10,97
camping3,11,82
camping3,12,84
camping4,1,92
camping4,2,86
camping4,3,86
camping4,4,90
camping4,5,85
camping4,6,61
camping4,7,81
camping4,8,71
camping4,9,79
camping4,10,92
camping4,11,105
camping4,12,79
camping5,1,98
camping5,2,83
camping5,3,100
camping5,4,100
camping5,5,116
camping5,6,85
camping5,7,97
camping5,8,107
camping5,9,108
camping5,10,108
camping5,11,97
camping5,12,92
camping6,1,84
camping6,2,55
camping6,3,82
camping6,4,68
camping6,5,96
camping6,6,77
camping6,7,78
camping6,8,69
camping6,9,80
camping6,10,84
camping6,11,78
camping6,12,91
camping7,1,71
camping7,2,64
camping7,3,52
camping7,4,80
camping7,5,49
camping7,6,71
camping7,7,74
camping7,8,66
camping7,9,77
camping7,10,57
camping7,11,70
camping7,12,82
camping8,1,91
camping8,2,106
camping8,3,101
camping8,4,99
camping8,5,116
camping8,6,88
camping8,7,99
camping8,8,84
camping8,9,79
camping8,10,95
camping8,11,124
camping8,12,91
entrance0,1,170
entrance0,2,161
entrance0,3,193
entrance0,4,192
entrance0,5,197
entrance0,6,154
entrance0,7,181
entrance0,8,185
entrance0,9,168
entrance0,10,194
entrance0,11,201
entrance0,12,188
entrance1,1,164
entrance1,2,184
entrance1,3,184
entrance1,4,191
entrance1,5,165
entrance1,6,150
entrance1,7,161
entrance1,8,175
entrance1,9,167
entrance1,10,157
entrance1,11,188
entrance1,12,158
entrance2,1,194
entrance2,2,186
entrance2,3,202
entrance2,4,207
entrance2,5,204
entrance2,6,199
entrance2,7,179
entrance2,8,199
entrance2,9,178
entrance2,10,196
entrance2,11,227
entrance2,12,209
entrance3,1,266
entrance3,2,226
entrance3,3,243
entrance3,4,248
entrance3,5,252
entrance3,6,222
entrance3,7,247
entrance3,8,221
entrance3,9,230
entrance3,10,243
entrance3,11,251
entrance3,12,232
entrance4,1,209
entrance4,2,172
entrance4,3,208
entrance4,4,197
entrance4,5,216
entrance4,6,195
entrance4,7,184
entrance4,8,196
entrance4,9,194
entrance4,10,198
entrance4,11,193
entrance4,12,200
gate0,1,4
gate0,2,2
gate0,3,0
gate0,4,3
gate0,5,3
gate0,6,1
gate0,7,1
gate0,8,1
gate0,9,3
gate0,10,3
gate0,11,0
gate0,12,0
gate1,1,4
gate1,2,2
gate1,3,0
gate1,4,3
gate1,5,3
gate1,6,1
gate1,7,1
gate1,8,1
gate1,9,3
gate1,10,3
gate1,11,0
gate1,12,0
gate2,1,6
gate2,2,10
gate2,3,4
gate2,4,10
gate2,5,10
gate2,6,10
gate2,7,8
gate2,8,10
gate2,9,8
gate2,10,18
gate2,11,14
gate2,12,10
gate3,1,28
gate3,2,22
gate3,3,26
gate3,4,28
gate3,5,26
gate3,6,26
gate3,7,24
gate3,8,26
gate3,9,16
gate3,10,26
gate3,11,32
gate3,12,24
gate4,1,20
gate4,2,18
gate4,3,20
gate4,4,20
gate4,5,16
gate4,6,22
gate4,7,12
gate4,8,18
gate4,9,12
gate4,10,20
gate4,11,24
gate4,12,20
gate5,1,38
gate5,2,33
gate5,3,28
gate5,4,31
gate5,5,37
gate5,6,33
gate5,7,32
gate5,8,37
gate5,9,28
gate5,10,41
gate5,11,32
gate5,12,31
gate6,1,24
gate6,2,23
gate6,3,18
gate6,4,21
gate6,5,29
gate6,6,17
gate6,7,22
gate6,8,25
gate6,9,21
gate6,10,34
gate6,11,24
gate6,12,21
